user_id,month,year,total_kwh,bill_amount,billing_days,ac_kwh,geyser_kwh,washing_machine_kwh,microwave_kwh,kitchen_kwh,lighting_kwh,occupancy_hours,holiday_days
U203,Jan,2025,572,5168.2,28,154,42,26,26,33,291,8,8
U536,Oct,2023,677,6362.68,28,291,126,36,15,25,184,23,4
U449,Oct,2025,954,8928.41,30,428,106,41,20,88,271,9,7
U371,Aug,2023,678,6107.72,30,237,95,43,19,37,247,14,0
U207,Apr,2024,849,7932.6,28,176,209,26,22,99,317,13,3
U172,Apr,2023,790,7400.54,29,174,155,42,39,49,331,12,8
U289,Apr,2025,881,8053.59,28,282,151,52,31,87,278,11,0
U121,Jun,2025,834,7746.03,29,251,101,30,41,81,330,9,0
U203,Jul,2024,887,8139.86,30,311,177,32,27,39,301,17,3
U222,Jun,2023,499,4621.78,29,154,48,16,22,48,211,12,2
U567,Jan,2024,281,2567.25,31,121,18,16,10,17,99,17,6
U315,Dec,2024,286,2610.9,30,95,28,23,13,19,108,22,2
U431,Aug,2025,424,3887.98,28,158,44,29,10,30,153,16,0
U559,Oct,2023,215,1947.52,28,91,21,15,5,13,70,18,1
U188,Nov,2023,557,5198.18,30,131,114,41,23,49,199,24,3
U473,Jul,2023,362,3308.49,30,93,41,30,19,38,141,16,0
U200,Jun,2023,809,7410.49,31,183,168,49,40,55,314,23,0
U460,Jun,2024,867,8113.06,30,203,81,59,42,115,367,13,7
U252,May,2024,713,6558.64,28,233,65,37,22,85,271,18,6
U231,Jun,2025,549,5060.52,31,153,89,40,14,26,227,24,7
U250,Dec,2024,880,8256.69,28,269,201,27,37,35,311,11,3
U409,Sep,2024,663,6202.16,29,295,115,14,17,36,186,22,5
U358,Oct,2025,574,5204.91,30,137,149,41,14,43,190,8,2
U444,Sep,2025,291,2674.08,29,97,50,7,13,17,107,8,7
U592,Oct,2025,380,3567.64,28,85,79,31,10,24,151,16,3
U514,Aug,2024,942,8618.31,29,263,173,62,38,81,325,19,2
U394,Oct,2024,500,4574.31,29,165,85,20,18,40,172,11,3
U486,Sep,2025,859,7798.01,28,375,66,50,20,43,305,20,5
U292,Oct,2025,991,8964.32,28,295,164,70,30,100,332,14,6
U544,Aug,2025,388,3606.9,30,83,59,18,13,43,172,15,6
U377,Aug,2024,513,4775.01,29,152,76,36,19,35,195,20,3
U261,Jan,2024,692,6496.22,31,163,122,53,26,66,262,18,7
U560,Oct,2023,327,3044.16,31,84,32,15,9,21,166,16,6
U414,Nov,2024,718,6531.89,28,254,88,20,35,54,267,23,1
U122,May,2024,625,5635.03,28,135,56,30,27,47,330,17,7
U353,Apr,2024,758,7120.78,29,239,179,23,19,31,267,18,8
