user_id,month,year,units_consumed,state,city,electricity_provider,tariff_category,slab_rate_0_100,slab_rate_101_300,slab_rate_301_500,slab_rate_500_plus,fixed_charge,tax_percent,bill_amount
27271,Sep,2024,81.44,West Bengal,Kolkata,CESC,Domestic,5.1,6.8,7.9,9.2,110.0,12.0,587.35
20861,Aug,2025,592.08,Maharashtra,Mumbai,MSEDCL,Domestic,5.5,8.2,10.5,12.0,125.0,16.0,6376.49
25391,Aug,2026,219.49,Tamil Nadu,Chennai,TANGEDCO,Domestic,3.5,5.0,7.0,9.0,80.0,10.0,1120.5
33419,Jun,2023,333.48,Maharashtra,Mumbai,MSEDCL,Domestic,5.5,8.2,10.5,12.0,125.0,16.0,3070.26
25192,Nov,2024,950.0,Tamil Nadu,Chennai,TANGEDCO,Domestic,3.5,5.0,7.0,9.0,80.0,10.0,7537.85
31965,Apr,2026,220.16,Maharashtra,Mumbai,MSEDCL,Commercial,9.5,11.0,12.5,14.0,300.0,16.0,2939.47
31285,Aug,2023,327.38,Karnataka,Bangalore,BESCOM,Domestic,4.5,6.5,7.7,8.5,100.0,9.0,2288.69
25735,Mar,2026,34.32,Karnataka,Bangalore,BESCOM,Domestic,4.5,6.5,7.7,8.5,100.0,9.0,282.27
26266,Sep,2024,64.79,West Bengal,Kolkata,CESC,Domestic,5.1,6.8,7.9,9.2,110.0,12.0,483.98
20467,Feb,2024,374.74,Maharashtra,Mumbai,MSEDCL,Domestic,5.5,8.2,10.5,12.0,125.0,16.0,3663.7
33527,Feb,2026,486.27,West Bengal,Kolkata,CESC,Commercial,8.5,9.5,10.2,11.5,250.0,12.0,5468.39
24427,Dec,2023,216.29,Tamil Nadu,Chennai,TANGEDCO,Domestic,3.5,5.0,7.0,9.0,80.0,10.0,1106.33
25579,Dec,2025,590.11,Karnataka,Bangalore,BESCOM,Domestic,4.5,6.5,7.7,8.5,100.0,9.0,4473.2
34424,Jul,2025,509.18,West Bengal,Kolkata,CESC,Domestic,5.1,6.8,7.9,9.2,110.0,12.0,4032.64
31637,Dec,2026,62.02,West Bengal,Kolkata,CESC,Domestic,5.1,6.8,7.9,9.2,110.0,12.0,475.13
31364,Oct,2024,86.7,Tamil Nadu,Chennai,TANGEDCO,Domestic,3.5,5.0,7.0,9.0,80.0,10.0,418.58
31112,Apr,2023,192.99,Tamil Nadu,Chennai,TANGEDCO,Domestic,3.5,5.0,7.0,9.0,80.0,10.0,999.75
28323,Oct,2023,950.0,Tamil Nadu,Chennai,TANGEDCO,Domestic,3.5,5.0,7.0,9.0,80.0,10.0,7719.3
21686,Aug,2024,304.65,Delhi,Delhi,BSES Yamuna,Domestic,3.0,4.5,6.5,8.0,50.0,5.0,1323.26
20770,Sep,2025,123.9,West Bengal,Kolkata,CESC,Domestic,5.1,6.8,7.9,9.2,110.0,12.0,867.74
30584,Jul,2023,211.12,West Bengal,Kolkata,CESC,Commercial,8.5,9.5,10.2,11.5,250.0,12.0,2448.46
33804,May,2026,214.34,Maharashtra,Mumbai,MSEDCL,Domestic,5.5,8.2,10.5,12.0,125.0,16.0,1867.16
26950,Aug,2025,683.91,Karnataka,Bangalore,BESCOM,Commercial,8.0,9.0,10.0,11.0,220.0,9.0,7324.13
22434,Apr,2026,2800.0,Maharashtra,Mumbai,MSEDCL,Commercial,9.5,11.0,12.5,14.0,300.0,16.0,43690.18
