one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen,eighteen,nineteen,electricity_consumption
7,0,1,1,0,0,0,0,0,1,0,0,0,1395,0,0,10,0,470
5,1,4,1,0,0,1,1,1,0,0,1,0,879,1,0,7,1,429
8,0,4,0,1,0,1,1,0,0,0,0,1,826,0,0,8,1,473
7,2,2,1,1,0,1,0,0,0,0,1,1,1605,0,1,15,0,580
8,0,3,1,1,0,0,1,0,1,1,1,0,1584,0,0,13,2,606
4,3,5,1,1,0,0,1,0,0,0,0,0,2229,0,1,8,2,597
6,2,5,0,0,1,1,0,1,1,0,1,0,1578,0,0,15,2,600
8,1,2,1,0,0,1,1,0,0,1,1,0,737,0,0,3,2,426
8,0,5,0,0,1,0,1,1,0,0,1,1,2029,1,1,3,0,605
2,2,1,0,0,0,0,0,0,0,0,1,0,1474,1,1,5,2,363
7,3,2,1,1,0,0,0,1,1,1,1,1,721,0,0,8,2,464
8,0,2,0,0,1,0,1,0,1,1,0,0,2315,0,0,12,2,616
2,1,2,1,1,1,0,1,0,0,1,0,1,1586,1,1,8,2,468
7,3,2,0,1,0,0,0,1,0,0,1,0,732,0,0,3,2,381
7,1,4,0,0,0,0,1,1,1,0,1,0,1587,1,0,12,2,588
5,2,1,0,1,0,0,0,1,0,1,0,0,2013,1,0,9,2,530
6,0,5,1,0,0,1,0,0,0,1,1,0,1904,0,1,10,1,578
8,0,1,1,1,0,0,1,0,1,0,1,1,539,0,0,13,0,449
2,2,5,0,1,0,0,1,1,0,1,0,0,921,1,1,11,2,425
3,1,2,1,0,0,1,1,0,1,0,0,1,658,1,0,5,1,325
4,1,2,0,0,1,1,1,0,1,1,1,1,613,0,1,4,2,347
2,0,5,1,1,1,1,0,1,0,1,0,1,506,0,1,8,0,344
6,2,1,1,1,1,1,1,1,0,0,1,1,1212,1,1,10,0,512
4,1,4,1,1,1,1,0,1,0,0,1,1,882,0,1,5,0,393
2,0,2,1,0,1,1,0,1,1,1,0,0,522,0,1,5,0,287
5,0,5,0,0,1,0,1,1,1,1,1,0,2444,1,1,14,0,673
8,3,2,1,1,0,1,0,1,1,1,0,0,1117,0,1,13,0,551
2,3,4,1,1,1,0,0,1,1,0,1,1,524,1,1,14,1,433
6,1,4,0,1,1,1,0,1,1,1,0,1,1022,0,1,11,2,498
2,3,2,1,0,0,1,1,1,0,1,1,1,2052,1,1,6,0,517
