user_id,month,year,total_fuel_liters,bill_amount,vehicle_type,daily_distance_km,office_days,weekend_trip_km,holiday_trip_km,fuel_price_per_liter,avg_trip_duration,occupancy_days,predicted_next_month
U603,Jan,2025,38,3893,Petrol,8,17,12,224,102.45,48,15,35
U936,Oct,2023,69,7322,Petrol,25,22,141,57,106.13,87,26,74
U849,Oct,2025,88,9015,Petrol,35,18,99,254,102.45,84,20,79
U771,Aug,2023,60,6196,Diesel,25,22,137,175,103.27,18,21,65
U607,Apr,2024,69,7066,Petrol,29,19,98,53,102.41,60,16,70
U572,Apr,2023,33,3321,Diesel,19,17,54,145,100.64,25,29,34
U689,Apr,2025,70,7526,Diesel,39,18,62,258,107.52,75,29,68
U521,Jun,2025,102,10647,Petrol,53,18,70,151,104.39,49,24,112
U603,Jul,2024,116,12330,Petrol,47,22,98,261,106.3,83,31,109
U622,Jun,2023,82,8632,Petrol,45,20,65,18,105.27,71,29,78
U967,Jan,2024,52,5413,Hybrid,41,21,78,170,104.11,25,20,47
U715,Dec,2024,109,10978,Diesel,61,23,72,196,100.72,26,23,118
U831,Aug,2025,95,9988,Petrol,46,20,46,72,105.14,57,25,94
U959,Oct,2023,84,8504,Petrol,51,17,80,84,101.24,33,29,86
U588,Nov,2023,90,9298,Diesel,65,17,125,283,103.32,82,17,93
U873,Jul,2023,30,3150,Hybrid,18,25,51,131,105.03,73,15,32
U600,Jun,2023,113,12007,Diesel,72,17,145,119,106.26,16,31,116
U860,Jun,2024,136,14345,Diesel,57,26,145,215,105.48,22,25,137
U652,May,2024,101,10642,Petrol,38,24,22,135,105.37,36,25,105
U631,Jun,2025,62,6273,Petrol,28,16,139,115,101.19,35,21,65
U650,Dec,2024,38,3905,Petrol,24,15,20,60,102.77,43,15,35
U809,Sep,2024,182,18261,Petrol,73,25,63,16,100.34,89,26,167
U758,Oct,2025,79,8355,Petrol,34,24,71,33,105.76,89,18,72
U844,Sep,2025,25,2690,Petrol,11,15,129,19,107.62,51,22,24
U992,Oct,2025,86,8781,Petrol,40,18,68,207,102.11,43,29,85
U914,Aug,2024,47,4732,Hybrid,42,17,67,161,100.7,51,25,48
U794,Oct,2024,98,10172,Diesel,56,19,146,298,103.8,35,22,106
U886,Sep,2025,41,4380,Diesel,19,26,127,9,106.85,26,26,39
U692,Oct,2025,80,8353,Diesel,50,23,106,93,104.42,62,17,84
U944,Aug,2025,87,8732,Petrol,27,26,108,106,100.37,61,18,87
U777,Aug,2024,35,3772,Diesel,16,22,71,104,107.79,29,26,33
U661,Jan,2024,125,13328,Petrol,48,26,102,70,106.63,81,22,127
U960,Oct,2023,43,4345,Diesel,19,23,140,83,101.05,27,24,47
U814,Nov,2024,109,11703,Petrol,53,19,64,208,107.37,73,15,100
U522,May,2024,0,0,Electric,25,22,133,258,103.61,87,27,0
U753,Apr,2024,61,6281,Petrol,19,18,111,238,102.98,27,21,55
U736,Feb,2025,66,6843,Petrol,18,19,78,231,103.69,86,17,63
U845,Aug,2024,77,8214,Hybrid,46,26,125,281,106.68,33,30,78
U549,Mar,2025,56,5895,Petrol,19,17,120,205,105.28,71,26,59
U975,Apr,2023,120,12056,Diesel,67,19,86,263,100.47,46,19,125
U559,Dec,2023,148,15933,Diesel,72,26,47,184,107.66,35,22,146
U670,Jul,2025,45,4553,Diesel,31,17,87,113,101.18,28,26,48
U976,Oct,2025,0,0,Electric,57,19,67,78,105.96,38,17,0
U688,Sep,2025,0,0,Electric,56,25,100,49,105.09,63,30,0
U964,Feb,2024,122,12383,Petrol,67,19,16,94,101.5,46,24,121
U771,Mar,2023,136,13786,Diesel,77,20,37,257,101.37,89,31,146
U690,Apr,2025,108,11551,Diesel,57,23,137,61,106.96,25,24,114
U946,Oct,2024,74,7648,Diesel,61,15,53,141,103.36,74,17,79
U675,Jan,2023,186,19574,Petrol,56,26,133,221,105.24,82,16,175
U946,Jul,2024,79,8218,Diesel,47,24,133,110,104.03,75,28,81
U551,Feb,2023,0,0,Electric,11,20,51,103,105.82,19,23,0
U864,May,2024,30,3114,Hybrid,46,15,14,14,103.83,50,31,31
U555,Jan,2023,41,4194,Petrol,8,20,67,269,102.3,78,18,41
U744,Mar,2023,113,11628,Petrol,73,16,111,158,102.91,46,29,101
U820,Dec,2024,42,4488,Petrol,9,22,103,156,106.87,85,27,39
U631,Feb,2025,120,12448,Diesel,79,25,6,26,103.74,88,23,115
U985,Jan,2023,52,5288,Diesel,45,17,50,84,101.71,80,18,55
U807,Jul,2025,25,2687,Petrol,8,24,57,8,107.48,24,22,26
U635,May,2024,46,4893,Petrol,6,20,108,275,106.37,35,29,42
U521,Jan,2025,183,18382,Petrol,71,20,110,226,100.45,54,28,199
U829,Jun,2025,58,6263,Petrol,25,18,30,185,107.99,56,17,54
U667,May,2025,69,7283,Hybrid,74,19,91,78,105.56,86,31,67
U774,Mar,2025,78,7899,Diesel,47,16,105,215,101.28,60,22,73
U888,Dec,2025,151,15386,Petrol,73,24,12,56,101.9,87,28,161
U589,Jul,2023,46,4854,Diesel,13,24,145,143,105.54,55,27,48
U816,Nov,2023,73,7755,Petrol,32,22,118,66,106.24,18,29,70
U514,Oct,2023,0,0,Electric,30,24,140,274,101.91,28,25,0
U742,Sep,2024,31,3163,Petrol,7,21,114,104,102.06,28,29,29
U765,Sep,2025,217,22233,Petrol,77,24,56,187,102.46,67,26,211
U846,Sep,2023,132,13830,Petrol,53,20,125,163,104.78,43,23,128
U553,Feb,2024,47,4764,Diesel,21,21,53,266,101.37,37,29,44
U886,Mar,2023,137,13813,Diesel,67,26,132,50,100.83,45,15,147
U840,Jul,2023,68,7169,Diesel,59,15,18,125,105.43,85,26,70
U592,May,2025,54,5736,Petrol,27,19,76,79,106.23,75,20,51
U867,Feb,2024,110,11441,Petrol,38,21,68,182,104.01,37,15,104
U944,Mar,2025,95,9776,Petrol,73,15,43,16,102.91,22,27,85
U955,Oct,2025,39,4034,Diesel,19,16,37,169,103.46,30,20,37
U928,Jun,2023,154,15878,Petrol,51,23,61,279,103.11,40,31,154
U764,Jul,2025,31,3338,Diesel,7,26,21,213,107.68,43,27,29
U931,Sep,2024,32,3396,Hybrid,32,17,72,197,106.14,20,23,33
U535,Jan,2025,13,1321,Hybrid,7,20,124,6,101.66,51,22,12
U706,Nov,2025,14,1442,Petrol,8,21,4,10,103.07,47,29,13
U581,Jul,2025,68,7095,Petrol,35,23,53,11,104.35,60,16,73
U920,Aug,2023,105,11014,Petrol,49,19,85,109,104.9,75,16,100
U550,Dec,2024,81,8403,Diesel,63,18,2,132,103.75,55,25,79
U860,Mar,2023,85,9050,Diesel,49,25,37,127,106.48,32,15,82
U888,Apr,2023,219,23244,Petrol,79,26,141,147,106.14,30,21,207
U502,Oct,2023,85,8843,Petrol,41,16,141,53,104.04,65,31,80
U890,Jun,2023,89,9508,Diesel,69,17,72,78,106.84,51,30,85
U554,Oct,2023,15,1590,Hybrid,13,19,37,96,106.01,28,21,16
U606,Jul,2024,75,7967,Petrol,21,25,124,248,106.23,82,21,79
U760,Apr,2025,94,10119,Diesel,69,16,69,126,107.65,44,16,97
U810,Aug,2023,22,2246,Petrol,7,18,64,29,102.13,74,19,21
U977,May,2023,40,4085,Petrol,30,15,24,23,102.14,67,28,40
U691,Jan,2024,65,6962,Hybrid,57,18,15,200,107.11,50,22,61
U902,Apr,2024,54,5733,Diesel,35,21,14,130,106.18,44,26,49
U718,Mar,2025,79,8485,Diesel,30,26,130,121,107.41,78,21,76
U544,Sep,2024,53,5327,Petrol,27,17,36,149,100.51,28,20,52
U662,Aug,2025,56,5881,Diesel,34,24,124,13,105.02,37,27,51
U702,Jan,2023,43,4349,Petrol,14,22,112,28,101.16,62,26,39
U946,Nov,2023,163,16956,Petrol,76,20,0,49,104.03,42,31,155
U984,Jun,2025,111,11238,Diesel,68,20,70,239,101.25,21,30,108
U770,Sep,2024,74,7475,Petrol,26,15,102,282,101.02,56,15,72
U851,Jul,2025,36,3603,Diesel,19,19,18,155,100.1,24,21,33
U804,Apr,2024,76,7983,Diesel,60,17,51,136,105.04,82,17,71
U771,Jan,2023,213,21911,Petrol,78,24,117,153,102.87,58,20,202
U956,Dec,2024,51,5142,Petrol,24,15,106,80,100.84,27,17,46
U962,Feb,2025,105,10770,Petrol,51,22,54,86,102.58,47,17,101
U715,Dec,2025,128,12972,Petrol,57,21,13,263,101.35,46,22,117
U752,May,2023,103,11075,Diesel,57,21,12,257,107.53,62,28,107
U690,Dec,2024,25,2564,Diesel,5,26,83,184,102.56,19,23,24
U796,Nov,2024,34,3490,Petrol,6,24,89,179,102.67,75,19,32
U713,May,2024,150,16008,Petrol,62,24,26,185,106.72,17,29,138
U708,Aug,2023,55,5784,Diesel,23,24,88,122,105.18,38,31,51
U737,Jun,2024,111,11730,Diesel,66,18,136,95,105.68,48,24,105
U838,Aug,2025,169,17760,Petrol,76,25,40,92,105.09,56,22,185
U867,Feb,2024,30,3227,Petrol,16,20,47,2,107.57,34,20,32
U553,Mar,2023,44,4473,Diesel,30,23,11,1,101.66,55,31,39
U780,Jun,2024,84,9064,Petrol,31,17,137,147,107.91,34,18,85
U910,Dec,2024,92,9811,Petrol,33,23,5,284,106.65,20,29,87
U717,Oct,2025,31,3246,Diesel,19,18,40,144,104.71,71,24,28
U752,Mar,2024,83,8739,Diesel,50,19,5,261,105.3,56,27,86
U688,Jun,2025,21,2208,Diesel,5,21,129,61,105.19,39,15,19
U880,Jun,2025,98,9846,Diesel,64,20,14,225,100.47,55,23,96
U993,Feb,2023,99,10072,Diesel,61,24,144,30,101.74,55,19,101
U541,Jul,2025,37,3984,Petrol,7,22,15,189,107.69,17,25,37
U657,Dec,2025,73,7611,Petrol,22,22,84,267,104.27,57,18,79
U515,Feb,2023,109,11230,Petrol,56,22,9,11,103.03,60,30,115
U801,Jun,2025,124,13156,Petrol,64,17,137,190,106.1,71,22,130
U565,Jan,2023,68,7085,Diesel,38,24,137,24,104.2,88,16,66
U845,Mar,2024,60,6006,Hybrid,64,20,18,90,100.11,65,31,54
U827,Feb,2023,0,0,Electric,30,21,67,87,105.89,19,24,0
U509,Jul,2025,149,15773,Diesel,76,23,41,273,105.86,87,27,163
U844,Apr,2023,70,7092,Petrol,23,24,139,110,101.32,29,29,68
U629,Aug,2025,90,9688,Petrol,26,24,145,79,107.65,53,23,98
U992,Jun,2024,75,7634,Diesel,37,26,83,139,101.79,84,22,69
U636,Dec,2023,69,7152,Diesel,42,18,133,213,103.66,52,20,66
U972,Oct,2024,58,5853,Diesel,39,19,52,17,100.92,53,18,54
U563,Apr,2025,110,11531,Diesel,71,22,97,53,104.83,66,17,109
U639,May,2025,22,2266,Diesel,14,15,41,96,103.0,17,18,23
U999,Sep,2024,57,5861,Diesel,19,26,29,282,102.83,43,27,55
U581,Jul,2023,49,5224,Petrol,15,20,8,233,106.62,45,25,52
U892,Oct,2023,46,4603,Diesel,28,18,33,239,100.08,80,22,46
U663,Sep,2025,13,1382,Hybrid,8,19,87,53,106.38,59,28,12
U919,Jul,2024,57,5960,Petrol,17,25,144,86,104.57,87,28,60
U789,Dec,2024,137,14780,Diesel,77,19,49,260,107.89,36,30,126
U879,Jan,2023,133,13927,Petrol,61,16,75,235,104.72,24,28,140
U761,Dec,2023,0,0,Electric,41,22,45,122,100.44,35,15,0
U990,Aug,2023,78,7831,Petrol,52,16,45,53,100.41,31,16,74
