user_id,vehicle_count,vehicle_type,daily_distance_km,work_days,vacation_days,previous_month_liters,previous_bill,trip_frequency
U401,1,Diesel,101,15,13,219,21871.05,Daily
U402,3,Diesel,5,15,10,10,996.1,Daily
U403,2,Petrol,55,26,6,108,10728.08,Weekdays
U404,1,Diesel,9,18,3,20,1999.2,Daily
U405,1,Diesel,17,19,1,36,3775.33,Weekdays
U406,1,Diesel,23,23,14,50,4899.18,Daily
U407,1,Hybrid,16,25,6,29,2933.43,Weekends
U408,2,Petrol,52,21,12,99,9642.11,Daily
U409,1,Diesel,29,21,0,57,5680.97,Daily
U410,2,Petrol,61,22,3,115,11155.06,Weekends
U411,1,Petrol,119,19,8,218,21926.86,Daily
U412,3,Petrol,39,19,13,74,7226.11,Daily
U413,2,Petrol,80,15,3,165,15735.7,Weekends
U414,1,Petrol,98,23,11,210,21662.07,Daily
U415,1,Diesel,9,20,12,19,1829.37,Daily
U416,1,Petrol,102,23,2,185,18255.87,Daily
U417,1,Diesel,26,17,9,52,5188.13,Daily
U418,1,Petrol,107,19,9,199,19765.64,Daily
U419,1,Petrol,81,16,1,163,16667.84,Weekdays
U420,1,Diesel,61,24,13,123,12419.04,Weekdays
U421,1,Petrol,51,19,14,104,10187.19,Daily
U422,1,Petrol,58,22,2,130,12417.21,Daily
U423,1,Diesel,7,25,0,15,1540.14,Weekends
U424,1,Petrol,57,16,9,120,11823.03,Rarely
U425,1,Petrol,88,22,7,197,20467.76,Daily
U426,2,Petrol,35,18,0,74,7322.34,Weekends
U427,1,Hybrid,73,24,2,161,16450.43,Weekdays
U428,1,Diesel,92,24,13,191,19939.57,Daily
U429,1,Diesel,108,15,2,222,22535.56,Daily
U430,1,Diesel,37,19,12,79,7831.66,Daily
U431,1,Petrol,76,15,14,137,13792.34,Weekends
U432,1,Petrol,92,21,1,197,19785.59,Weekdays
U433,1,Diesel,54,22,13,122,12303.48,Weekdays
U434,3,Petrol,88,17,4,189,18232.49,Daily
U435,3,Petrol,20,17,9,36,3671.46,Weekdays
U436,2,Petrol,118,21,2,234,22569.4,Weekdays
U437,1,Petrol,80,18,2,176,16745.73,Weekends
U438,1,Electric,81,17,7,0,0.0,Daily
U439,2,Petrol,113,22,3,224,21541.89,Weekdays
U440,1,Petrol,110,17,3,244,25059.8,Daily
U441,1,Petrol,43,21,2,95,9847.67,Weekdays
U442,1,Electric,93,16,10,0,0.0,Weekdays
U443,1,Petrol,50,25,0,111,11282.57,Daily
U444,3,Petrol,100,25,7,196,19564.75,Weekdays
U445,1,Diesel,92,15,14,192,18916.38,Daily
U446,2,Diesel,116,26,0,240,23978.22,Weekends
U447,1,Petrol,51,20,6,108,10465.58,Daily
U448,1,Petrol,48,22,4,104,10242.36,Weekdays
U449,1,Petrol,13,15,3,26,2656.66,Weekends
U450,1,Petrol,108,24,3,242,23516.16,Daily
U451,3,Petrol,118,26,7,260,25386.57,Weekdays
U452,2,Petrol,91,23,10,199,20396.16,Daily
U453,3,Petrol,54,17,10,109,10548.84,Daily
U454,2,Petrol,81,17,12,147,14326.45,Weekdays
U455,1,Diesel,64,18,13,130,12372.81,Weekdays
U456,3,Electric,100,25,5,0,0.0,Weekends
U457,1,Diesel,118,15,13,223,22562.92,Weekends
U458,1,Petrol,19,23,11,43,4383.59,Weekdays
U459,1,Petrol,40,25,0,88,8548.61,Weekdays
U460,1,Electric,117,17,13,0,0.0,Weekends
U461,1,Petrol,67,24,9,143,14437.82,Daily
U462,1,Petrol,73,18,7,152,14996.51,Daily
U463,2,Diesel,90,15,12,194,19279.38,Daily
U464,1,Diesel,84,18,13,168,16914.11,Weekends
U465,1,Diesel,45,15,1,100,9993.29,Weekdays
U466,1,Petrol,78,19,5,167,16936.85,Weekdays
U467,1,Petrol,28,19,8,61,5905.4,Daily
U468,2,Electric,86,25,0,0,0.0,Rarely
U469,1,Petrol,53,21,5,97,9651.77,Daily
U470,4,Diesel,22,22,7,40,3984.41,Weekdays
U471,2,Diesel,11,18,9,24,2392.65,Daily
U472,1,Diesel,8,21,12,15,1557.22,Daily
U473,1,Petrol,94,18,1,196,20224.51,Weekdays
U474,2,Petrol,73,17,4,147,14890.47,Rarely
U475,2,Diesel,64,20,5,115,11748.96,Daily
U476,2,Diesel,59,18,4,107,10210.8,Daily
U477,2,Hybrid,20,17,2,44,4507.36,Daily
U478,1,Petrol,103,23,3,216,21570.12,Daily
U479,1,Petrol,94,19,6,193,18948.25,Daily
U480,1,Hybrid,86,21,3,195,18797.57,Weekdays
U481,2,Diesel,33,26,8,62,5936.63,Weekends
U482,1,Diesel,27,20,10,52,4963.34,Daily
U483,1,Petrol,18,24,11,39,3768.1,Weekdays
U484,1,Diesel,83,19,13,181,17249.56,Daily
U485,1,Diesel,53,21,12,106,10846.6,Daily
U486,1,Diesel,37,25,12,84,8188.84,Daily
U487,2,Petrol,29,20,9,65,6414.68,Weekdays
U488,1,Petrol,25,24,1,45,4645.22,Daily
U489,2,Diesel,21,16,4,39,3749.72,Daily
U490,1,Petrol,27,17,7,59,6098.0,Daily
U491,1,Petrol,61,16,13,120,12167.45,Daily
U492,2,Electric,111,26,4,0,0.0,Daily
U493,2,Petrol,85,17,9,186,17889.12,Weekends
U494,1,Diesel,62,15,11,125,11989.37,Weekdays
U495,2,Petrol,18,22,7,36,3540.79,Weekends
U496,1,Diesel,97,20,7,183,17641.83,Daily
U497,1,Electric,24,16,8,0,0.0,Daily
U498,1,Petrol,34,22,9,70,6687.07,Daily
U499,1,Petrol,23,20,5,43,4340.85,Daily
U500,1,Petrol,57,21,11,112,10802.71,Weekdays
U501,1,Petrol,107,25,3,224,22975.08,Daily
U502,1,Diesel,60,15,11,135,13119.54,Daily
U503,1,Hybrid,81,21,10,183,18845.3,Weekdays
U504,1,Petrol,86,17,2,167,16182.1,Daily
U505,3,Petrol,27,25,14,58,5928.39,Rarely
U506,1,Petrol,66,26,11,144,14159.63,Daily
U507,1,Diesel,114,22,13,251,25308.63,Weekdays
U508,2,Petrol,37,20,4,77,7344.77,Daily
U509,1,Diesel,107,18,5,193,19290.82,Rarely
U510,1,Diesel,108,25,2,235,22674.42,Daily
U511,1,Diesel,22,22,1,40,3994.53,Weekdays
U512,1,Petrol,77,23,6,143,13787.14,Daily
U513,3,Diesel,37,24,10,77,7651.56,Weekdays
U514,2,Petrol,36,16,4,82,7880.71,Daily
U515,1,Petrol,65,20,8,124,12052.74,Daily
U516,2,Diesel,58,19,14,123,12416.95,Weekends
U517,2,Diesel,21,19,2,40,4190.66,Rarely
U518,1,Petrol,23,24,13,51,5074.08,Daily
U519,2,Petrol,95,25,14,199,20272.48,Weekends
U520,1,Petrol,74,17,7,140,14055.19,Daily
U521,2,Petrol,103,26,5,198,19796.75,Weekends
U522,2,Petrol,105,22,3,211,20181.53,Weekdays
U523,1,Petrol,38,22,11,70,6751.01,Daily
U524,1,Petrol,88,26,11,161,16716.72,Weekends
U525,1,Diesel,29,19,14,62,6144.3,Weekends
U526,1,Diesel,72,22,8,144,14564.64,Daily
U527,2,Diesel,78,24,4,168,16847.43,Weekdays
U528,2,Petrol,78,22,14,144,14225.59,Daily
U529,1,Electric,92,17,9,0,0.0,Weekends
U530,1,Diesel,89,16,5,179,17999.28,Weekdays
U531,1,Diesel,15,23,13,27,2603.11,Daily
U532,1,Diesel,95,16,14,196,19379.03,Weekdays
U533,1,Hybrid,20,23,14,36,3580.91,Weekdays
U534,1,Petrol,94,18,12,208,21809.06,Weekdays
U535,3,Petrol,65,26,8,137,13496.49,Daily
U536,1,Diesel,98,16,6,203,20593.5,Daily
U537,1,Diesel,117,24,11,218,21009.57,Weekdays
U538,2,Diesel,84,15,4,163,15591.73,Daily
U539,1,Petrol,11,18,1,22,2281.74,Daily
U540,3,Petrol,20,23,3,42,4296.91,Weekdays
U541,3,Petrol,103,26,1,194,19045.95,Daily
U542,1,Hybrid,20,23,2,36,3601.65,Weekdays
U543,1,Diesel,44,18,9,86,8286.74,Weekdays
U544,1,Petrol,16,23,11,32,3266.29,Weekdays
U545,1,Petrol,39,26,2,73,6986.34,Daily
U546,1,Petrol,117,20,3,239,24514.31,Daily
U547,1,Diesel,25,15,5,49,4922.95,Daily
U548,1,Diesel,54,24,11,109,10658.95,Weekends
U549,1,Diesel,47,20,2,92,9533.57,Daily
U550,1,Petrol,104,23,9,219,22964.5,Rarely
U551,3,Diesel,116,16,13,211,20581.68,Weekdays
U552,1,Petrol,21,20,0,39,4019.44,Weekends
U553,1,Diesel,36,16,0,72,7380.12,Daily
U554,1,Petrol,45,18,8,89,9120.0,Daily
U555,4,Petrol,10,22,8,19,1986.87,Weekends
U556,1,Diesel,92,21,4,202,20172.97,Daily
U557,2,Hybrid,31,25,8,69,7020.18,Daily
U558,2,Petrol,24,26,10,46,4748.98,Daily
U559,1,Diesel,29,23,6,64,6386.9,Rarely
U560,2,Petrol,70,21,8,142,14173.63,Weekdays
U561,1,Petrol,13,15,11,25,2454.66,Weekdays
U562,1,Petrol,96,16,6,220,22617.82,Weekdays
U563,1,Petrol,57,20,8,126,12834.61,Daily
U564,1,Petrol,65,21,14,149,14827.2,Weekdays
U565,1,Petrol,42,17,1,79,7836.28,Daily
U566,2,Petrol,7,23,10,13,1244.44,Weekends
U567,1,Hybrid,88,21,10,180,17111.7,Daily
U568,1,Petrol,74,20,7,156,15645.07,Daily
U569,1,Diesel,107,20,6,201,19934.16,Weekdays
U570,1,Petrol,101,15,5,225,23166.08,Daily
U571,2,Diesel,59,19,4,121,12151.61,Weekdays
U572,1,Petrol,5,24,3,10,1043.67,Daily
U573,1,Petrol,105,17,6,220,21331.51,Daily
U574,1,Petrol,74,21,2,156,16364.63,Daily
U575,1,Petrol,49,24,7,89,8720.15,Weekdays
U576,1,Petrol,102,17,1,234,23733.27,Daily
U577,2,Diesel,51,19,0,101,10101.87,Weekdays
U578,1,Diesel,83,21,10,151,14887.96,Daily
U579,3,Diesel,113,17,1,251,24194.67,Daily
U580,1,Diesel,30,24,8,68,6551.69,Daily
U581,1,Petrol,18,16,4,39,3982.49,Weekends
U582,1,Petrol,58,20,10,129,12742.16,Weekdays
U583,3,Petrol,75,22,7,158,16528.85,Daily
U584,2,Petrol,50,18,2,113,11102.98,Weekdays
U585,1,Petrol,35,23,6,63,6604.62,Weekends
U586,2,Petrol,92,26,14,200,19410.85,Daily
U587,2,Petrol,63,26,1,134,12867.77,Weekends
U588,1,Petrol,99,22,7,180,17662.63,Daily
U589,1,Diesel,33,21,13,68,7062.2,Weekends
U590,1,Diesel,110,21,6,226,22649.39,Weekdays
U591,1,Petrol,100,17,11,214,20620.29,Daily
U592,2,Hybrid,21,20,4,38,3686.95,Daily
U593,3,Electric,18,19,11,0,0.0,Rarely
U594,1,Petrol,108,15,10,201,20281.24,Weekdays
U595,1,Petrol,40,25,3,80,7865.9,Weekdays
U596,1,Petrol,62,17,0,138,14140.93,Daily
U597,2,Hybrid,116,26,4,241,24380.27,Daily
U598,2,Diesel,28,15,11,55,5705.6,Daily
U599,2,Petrol,113,18,8,206,20601.98,Daily
U600,2,Petrol,67,24,9,143,14058.58,Weekdays
U601,1,Diesel,95,17,3,217,22776.91,Weekends
U602,1,Petrol,29,25,12,65,6406.16,Weekdays
U603,1,Petrol,63,18,8,135,13403.61,Daily
U604,2,Diesel,36,23,11,66,6804.02,Weekdays
U605,1,Diesel,86,17,1,165,15821.25,Weekends
U606,1,Diesel,114,26,3,215,21255.95,Weekdays
U607,1,Diesel,22,20,8,43,4121.86,Weekdays
U608,2,Diesel,41,20,3,78,7518.66,Rarely
U609,1,Petrol,30,21,4,57,5417.65,Weekdays
U610,1,Diesel,13,23,10,27,2567.58,Daily
U611,1,Petrol,103,26,7,201,19859.38,Daily
U612,2,Diesel,68,21,0,145,14948.29,Rarely
U613,2,Petrol,76,15,0,172,17349.65,Daily
U614,1,Diesel,24,22,8,50,5067.46,Daily
U615,2,Petrol,58,19,8,126,12624.25,Daily
U616,1,Petrol,110,23,3,239,24664.31,Weekdays
U617,1,Petrol,90,24,12,176,18269.47,Rarely
U618,2,Petrol,87,26,1,157,16249.09,Daily
U619,1,Diesel,34,19,12,62,6393.52,Weekdays
U620,2,Diesel,57,19,8,110,10650.98,Weekends
U621,2,Petrol,96,26,13,205,20692.45,Daily
U622,1,Petrol,103,26,3,232,23390.62,Daily
U623,1,Petrol,111,16,5,253,25370.7,Weekends
U624,1,Petrol,67,26,11,121,12076.78,Daily
U625,1,Petrol,15,25,0,34,3260.32,Weekdays
U626,1,Diesel,35,17,11,68,6529.47,Weekdays
U627,3,Petrol,53,24,8,117,12170.67,Daily
U628,1,Petrol,116,23,4,219,22185.11,Weekends
U629,2,Petrol,107,21,14,195,19036.52,Daily
U630,1,Petrol,104,15,2,206,20145.36,Daily
U631,2,Petrol,98,17,3,218,22040.22,Daily
U632,1,Diesel,91,26,0,173,17139.0,Daily
U633,1,Petrol,23,16,13,43,4274.77,Weekends
U634,1,Petrol,16,15,8,36,3441.83,Weekdays
U635,1,Petrol,19,23,13,43,4144.66,Weekends
U636,2,Petrol,35,22,7,63,6232.81,Daily
U637,1,Petrol,47,19,3,101,10301.68,Weekdays
U638,1,Electric,105,25,1,0,0.0,Weekdays
U639,1,Diesel,41,26,13,81,7965.99,Weekends
U640,1,Diesel,83,16,8,168,17127.72,Weekdays
U641,3,Petrol,33,15,3,66,6792.75,Daily
U642,3,Petrol,118,21,8,242,23450.33,Daily
U643,3,Petrol,111,25,9,232,23737.05,Daily
U644,1,Diesel,30,25,2,60,6273.25,Weekdays
U645,1,Diesel,112,16,6,240,24976.35,Rarely
U646,3,Petrol,6,15,6,12,1234.73,Daily
U647,1,Petrol,88,16,9,177,18075.82,Daily
U648,3,Petrol,19,21,12,35,3407.3,Daily
U649,3,Diesel,8,21,3,16,1621.42,Weekdays
U650,2,Diesel,90,24,1,196,19880.82,Daily
U651,1,Petrol,54,20,10,114,11293.78,Daily
U652,1,Petrol,42,19,8,87,8693.92,Daily
U653,2,Diesel,27,17,3,51,5198.95,Weekdays
U654,1,Petrol,63,26,7,133,13901.3,Weekdays
U655,1,Petrol,94,17,13,184,18023.36,Weekdays
U656,1,Petrol,119,25,1,268,26120.25,Daily
U657,3,Diesel,79,26,7,168,16971.04,Daily
U658,2,Petrol,32,23,10,62,5971.1,Daily
U659,1,Petrol,70,18,9,142,14317.2,Daily
U660,1,Diesel,12,23,4,26,2493.1,Daily
U661,1,Petrol,33,18,6,64,6393.97,Daily
U662,4,Petrol,15,16,6,30,3036.12,Weekdays
U663,1,Petrol,105,18,11,224,21437.05,Daily
U664,1,Petrol,22,20,8,47,4562.27,Daily
U665,2,Diesel,59,20,2,111,10917.27,Weekends
U666,2,Petrol,54,19,9,112,11052.83,Weekdays
U667,2,Petrol,18,15,3,40,4070.44,Weekdays
U668,2,Diesel,78,17,9,178,17851.66,Weekends
U669,1,Diesel,103,19,3,219,21641.82,Daily
U670,1,Diesel,13,20,14,29,2885.7,Weekdays
U671,2,Petrol,103,15,12,214,20357.77,Weekdays
U672,2,Petrol,15,23,9,30,3081.16,Daily
U673,2,Diesel,67,17,4,139,13262.0,Daily
U674,3,Petrol,112,24,13,208,21484.98,Daily
U675,1,Diesel,80,17,5,160,16065.59,Daily
U676,1,Diesel,71,25,14,144,14440.06,Daily
U677,2,Diesel,57,16,2,126,12857.77,Daily
U678,1,Petrol,43,22,12,93,9634.39,Daily
U679,2,Petrol,82,17,3,172,17961.35,Daily
U680,2,Diesel,60,20,2,118,11851.18,Daily
U681,2,Petrol,32,16,1,60,5790.39,Daily
U682,1,Petrol,79,21,9,155,16086.88,Daily
U683,1,Diesel,43,18,11,92,8777.42,Weekdays
U684,1,Diesel,29,23,8,56,5772.11,Daily
U685,1,Petrol,25,24,0,50,5090.21,Weekends
U686,1,Petrol,14,23,1,27,2809.28,Weekends
U687,1,Petrol,47,21,7,102,10605.41,Weekdays
U688,1,Diesel,19,26,14,42,4012.32,Weekdays
U689,1,Hybrid,87,22,6,187,18904.66,Daily
U690,1,Petrol,52,17,11,102,9817.16,Daily
