user_id,month,year,gas_units,bill_amount,cooking_units,heating_units,occupancy_days
U403,Jan,2025,392,489.69,234,158,20
U736,Oct,2023,342,396.36,199,143,22
U649,Oct,2025,419,487.15,210,209,15
U571,Aug,2023,237,292.14,120,117,24
U407,Apr,2024,178,220.09,59,119,17
U372,Apr,2023,269,321.33,151,118,18
U489,Apr,2025,222,271.15,70,152,25
U321,Jun,2025,275,340.11,108,167,29
U403,Jul,2024,399,460.57,238,161,15
U422,Jun,2023,181,218.54,77,104,23
U767,Jan,2024,186,229.77,63,123,25
U515,Dec,2024,324,385.5,191,133,27
U631,Aug,2025,115,135.73,68,47,30
U759,Oct,2023,409,502.89,145,264,18
U388,Nov,2023,262,310.1,146,116,15
U673,Jul,2023,197,226.61,82,115,27
U400,Jun,2023,255,317.72,105,150,15
U660,Jun,2024,101,122.13,38,63,19
U452,May,2024,449,553.15,140,309,19
U431,Jun,2025,268,330.32,101,167,28
U450,Dec,2024,414,478.85,130,284,28
U609,Sep,2024,424,494.84,244,180,22
U558,Oct,2025,191,225.59,95,96,18
U644,Sep,2025,280,330.98,158,122,21
U792,Oct,2025,330,401.24,170,160,29
U714,Aug,2024,400,484.93,135,265,18
U594,Oct,2024,247,296.27,143,104,23
U686,Sep,2025,379,443.86,216,163,27
U492,Oct,2025,288,342.2,116,172,28
U744,Aug,2025,446,537.14,148,298,28
U577,Aug,2024,449,537.36,229,220,24
U461,Jan,2024,413,480.21,214,199,30
U760,Oct,2023,227,275.79,129,98,19
U614,Nov,2024,106,122.67,33,73,20
U322,May,2024,146,173.42,50,96,16
U553,Apr,2024,152,185.59,72,80,27
U536,Feb,2025,286,329.47,138,148,27
U645,Aug,2024,137,165.36,42,95,15
U349,Mar,2025,325,384.62,136,189,22
U775,Apr,2023,152,174.93,72,80,30
U359,Dec,2023,323,377.6,168,155,16
U470,Jul,2025,253,314.76,99,154,22
U776,Oct,2025,147,176.71,65,82,20
U488,Sep,2025,246,307.43,133,113,30
U764,Feb,2024,163,196.0,95,68,25
U571,Mar,2023,448,539.57,165,283,31
U490,Apr,2025,281,334.16,105,176,25
U746,Oct,2024,224,264.54,130,94,22
U475,Jan,2023,278,326.69,116,162,18
U746,Jul,2024,138,163.44,71,67,25
U351,Feb,2023,359,429.36,173,186,22
U664,May,2024,102,119.26,39,63,23
U355,Jan,2023,163,191.12,80,83,16
U544,Mar,2023,128,150.68,63,65,30
U620,Dec,2024,110,131.44,52,58,20
U431,Feb,2025,196,238.2,64,132,22
U785,Jan,2023,302,373.16,180,122,28
U607,Jul,2025,120,141.45,50,70,30
U435,May,2024,138,161.24,67,71,26
U321,Jan,2025,322,382.5,182,140,19
U629,Jun,2025,201,249.13,85,116,23
U467,May,2025,145,166.89,77,68,16
U574,Mar,2025,165,200.93,97,68,26
U688,Dec,2025,190,227.57,77,113,16
U389,Jul,2023,263,306.69,110,153,24
U616,Nov,2023,210,248.24,120,90,15
U314,Oct,2023,437,512.38,152,285,18
U542,Sep,2024,222,274.79,68,154,26
U565,Sep,2025,292,349.87,167,125,23
U646,Sep,2023,198,238.85,108,90,18
U353,Feb,2024,390,471.65,230,160,23
U686,Mar,2023,258,313.2,81,177,20
U640,Jul,2023,202,242.31,70,132,15
U392,May,2025,380,437.68,126,254,24
U667,Feb,2024,142,168.05,71,71,28
U744,Mar,2025,183,213.81,88,95,20
U755,Oct,2025,290,353.22,118,172,30
U728,Jun,2023,150,173.35,47,103,29
U564,Jul,2025,309,372.77,151,158,30
U731,Sep,2024,225,263.49,105,120,22
U335,Jan,2025,168,209.14,56,112,27
U506,Nov,2025,364,430.81,208,156,25
U381,Jul,2025,357,422.16,128,229,21
U720,Aug,2023,287,356.55,150,137,31
U350,Dec,2024,329,392.08,186,143,27
U660,Mar,2023,288,358.93,136,152,29
U688,Apr,2023,109,125.61,40,69,15
U302,Oct,2023,213,251.48,83,130,30
U690,Jun,2023,175,212.91,99,76,19
U354,Oct,2023,263,325.88,102,161,17
U406,Jul,2024,184,216.32,96,88,24
U560,Apr,2025,148,183.97,88,60,19
U610,Aug,2023,425,514.0,254,171,21
U777,May,2023,276,339.51,126,150,28
U491,Jan,2024,317,377.14,173,144,17
U702,Apr,2024,288,337.31,171,117,27
U518,Mar,2025,445,552.3,183,262,27
U344,Sep,2024,329,409.05,123,206,24
U462,Aug,2025,354,424.71,118,236,16
U502,Jan,2023,335,385.47,114,221,20
U746,Nov,2023,125,145.12,69,56,22
U784,Jun,2025,171,206.45,81,90,18
U570,Sep,2024,360,414.86,202,158,26
U651,Jul,2025,353,419.96,189,164,29
U604,Apr,2024,370,436.72,185,185,22
U571,Jan,2023,222,271.16,107,115,21
U756,Dec,2024,243,280.8,76,167,28
U762,Feb,2025,356,426.8,199,157,28
U515,Dec,2025,243,293.52,103,140,27
U552,May,2023,358,433.8,167,191,15
U490,Dec,2024,146,173.82,44,102,15
U596,Nov,2024,112,132.21,65,47,18
U513,May,2024,307,374.0,175,132,24
U508,Aug,2023,410,506.25,189,221,17
U537,Jun,2024,334,407.27,158,176,23
U638,Aug,2025,248,308.32,126,122,17
U667,Feb,2024,421,514.35,159,262,20
U353,Mar,2023,254,311.52,93,161,20
U580,Jun,2024,265,309.2,133,132,26
U710,Dec,2024,189,225.28,62,127,15
U517,Oct,2025,285,341.57,124,161,30
U552,Mar,2024,417,490.24,186,231,19
U488,Jun,2025,273,328.38,113,160,23
U680,Jun,2025,316,372.59,112,204,24
U793,Feb,2023,363,442.41,147,216,27
U341,Jul,2025,196,234.62,78,118,29
U457,Dec,2025,216,258.31,97,119,26
U315,Feb,2023,298,372.01,149,149,19
U601,Jun,2025,419,498.29,247,172,19
U365,Jan,2023,120,142.35,41,79,26
U645,Mar,2024,299,353.38,168,131,17
U627,Feb,2023,440,545.37,169,271,21
U309,Jul,2025,347,416.29,165,182,31
U644,Apr,2023,375,453.75,174,201,15
U429,Aug,2025,363,424.01,169,194,19
U792,Jun,2024,157,189.04,81,76,16
U436,Dec,2023,401,472.16,166,235,15
U772,Oct,2024,130,159.0,51,79,21
U363,Apr,2025,348,429.17,193,155,25
U439,May,2025,192,234.52,70,122,25
U799,Sep,2024,364,445.18,128,236,31
U381,Jul,2023,370,444.46,112,258,16
U692,Oct,2023,193,235.69,70,123,21
U463,Sep,2025,253,301.64,115,138,21
U719,Jul,2024,384,466.62,177,207,24
U589,Dec,2024,179,210.49,67,112,17
U679,Jan,2023,391,452.38,125,266,26
U561,Dec,2023,183,218.02,95,88,17
U790,Aug,2023,136,162.68,71,65,25
U531,Apr,2024,441,518.46,264,177,26
U341,Mar,2023,426,520.9,242,184,18
U328,Jul,2023,331,383.08,191,140,30
U435,Dec,2025,192,225.08,103,89,18
U501,Mar,2023,435,532.81,210,225,20
U628,Aug,2023,201,239.94,68,133,29
U568,Jun,2024,265,323.44,128,137,15
U718,May,2024,258,311.34,81,177,17
U333,Apr,2025,113,140.69,63,50,19
U348,Aug,2023,324,391.97,144,180,31
U707,Aug,2025,172,198.06,87,85,28
U362,Dec,2024,348,412.48,109,239,23
U516,Jan,2025,190,221.22,87,103,17
U593,Sep,2024,315,391.38,122,193,27
U399,May,2025,189,219.32,72,117,17
U472,Apr,2025,128,152.16,53,75,25
U660,Jun,2023,404,473.73,121,283,16
U514,Jun,2025,319,393.86,140,179,29
U775,Feb,2023,427,504.23,190,237,27
U335,Aug,2023,314,392.25,175,139,30
U749,Jul,2023,320,369.24,139,181,21
U527,Jan,2023,141,163.96,57,84,27
U401,May,2025,234,274.36,140,94,18
U731,Dec,2024,141,173.59,66,75,23
U762,Jun,2024,263,325.56,116,147,24
U431,Apr,2024,382,442.03,171,211,23
U557,Feb,2025,157,181.06,85,72,21
U305,Apr,2023,401,491.01,161,240,29
U518,Jan,2024,421,489.76,175,246,22
U555,Jul,2025,124,144.25,65,59,25
U698,Feb,2023,172,198.18,55,117,19
U659,Feb,2024,228,263.34,127,101,16
U583,Sep,2023,186,218.8,79,107,24
U693,May,2024,429,496.14,203,226,30
U507,Feb,2024,252,299.1,132,120,27
U315,Nov,2024,281,346.55,106,175,22
U646,Sep,2023,224,264.91,127,97,23
U342,Sep,2025,166,202.98,98,68,25
U680,Jan,2023,105,121.74,47,58,25
U761,Nov,2024,224,272.37,130,94,30
U479,Mar,2023,413,488.03,124,289,24
U363,Apr,2025,425,520.61,241,184,26
U652,Jul,2023,152,176.87,59,93,20
U531,Oct,2025,165,204.57,64,101,26
U541,Apr,2025,413,484.97,152,261,24
U352,Feb,2023,181,214.54,71,110,18
U396,Jul,2024,186,231.57,67,119,23
U688,Jun,2025,101,121.99,57,44,21
U522,Mar,2023,303,359.53,172,131,22
U785,Jun,2025,249,310.0,82,167,25
U707,Nov,2024,392,463.7,134,258,21
U531,Jun,2023,202,234.22,112,90,23
U537,Dec,2023,123,153.71,51,72,22
U443,May,2023,311,365.98,109,202,17
U471,Apr,2024,164,202.56,74,90,31
U329,Oct,2025,308,359.3,130,178,16
U336,Dec,2023,350,428.1,128,222,29
U313,Jan,2025,216,259.73,111,105,28
U460,Oct,2025,215,268.34,105,110,30
U627,Jun,2024,336,404.98,110,226,18
U487,Feb,2023,204,235.11,117,87,20
