user_id,num_people,cooking_hours_daily,gas_stove_count,water_heating,cooking_type,vacation_days
U301,7,7,2,Gas,Moderate,29
U302,4,4,2,Gas,Moderate,15
U303,5,5,1,Gas,Moderate,29
U304,7,7,2,Electric,Light,4
U305,3,3,1,Electric,Moderate,18
U306,5,5,1,Electric,Light,6
U307,5,5,1,Electric,Light,13
U308,7,7,1,Gas,Moderate,1
U309,2,2,1,Gas,Moderate,2
U310,3,3,1,Gas,Light,16
U311,7,7,1,Solar,Moderate,15
U312,3,3,1,Electric,Light,7
U313,3,3,1,Electric,Light,17
U314,5,5,2,Gas,Moderate,14
U315,4,4,1,Electric,Light,6
U316,3,3,1,Gas,Moderate,26
U317,6,6,1,Gas,Light,8
U318,5,5,1,Gas,Moderate,5
U319,2,2,1,Gas,Light,17
U320,4,4,2,Gas,Light,17
U321,6,6,1,Electric,Moderate,24
U322,6,6,1,Gas,Heavy,25
U323,2,2,1,Gas,Light,23
U324,4,4,1,Gas,Moderate,13
U325,5,5,1,Gas,Moderate,13
U326,1,1,1,Electric,Moderate,13
U327,4,4,1,Electric,Heavy,24
U328,2,2,1,Electric,Light,3
U329,6,6,1,Electric,Heavy,3
U330,5,5,1,Electric,Moderate,14
U331,4,4,2,Gas,Moderate,14
U332,1,1,2,Electric,Heavy,17
U333,1,1,2,Gas,Moderate,13
U334,3,3,1,Gas,Moderate,25
U335,3,3,1,Gas,Moderate,0
U336,7,7,1,Electric,Moderate,9
U337,2,2,1,Electric,Light,28
U338,4,4,1,Gas,Moderate,19
U339,4,4,1,Electric,Light,9
U340,7,7,1,Solar,Heavy,9
U341,6,6,3,Gas,Heavy,26
U342,6,6,1,Gas,Moderate,23
U343,7,7,1,Electric,Moderate,1
U344,6,6,1,Gas,Light,28
U345,3,3,2,Gas,Light,27
U346,4,4,1,Gas,Heavy,26
U347,7,7,1,Gas,Light,7
U348,4,4,1,Electric,Moderate,0
U349,1,1,1,Electric,Heavy,0
U350,3,3,1,Electric,Heavy,3
U351,5,5,2,Electric,Moderate,6
U352,3,3,1,Electric,Moderate,8
U353,7,7,1,Electric,Moderate,15
U354,5,5,1,Gas,Heavy,4
U355,1,1,1,Gas,Moderate,1
U356,7,7,1,Gas,Moderate,27
U357,2,2,1,Electric,Light,22
U358,4,4,1,Gas,Light,10
U359,1,1,1,Gas,Moderate,17
U360,4,4,1,Gas,Heavy,24
U361,6,6,1,Electric,Heavy,24
U362,2,2,1,Electric,Heavy,18
U363,2,2,2,Gas,Moderate,12
U364,1,1,1,Electric,Moderate,23
U365,2,2,1,Gas,Heavy,10
U366,5,5,2,Gas,Moderate,19
U367,2,2,1,Electric,Moderate,18
U368,4,4,2,Gas,Moderate,16
U369,4,4,1,Solar,Heavy,4
U370,7,7,3,Gas,Light,12
U371,4,4,1,Gas,Heavy,29
U372,7,7,1,Solar,Light,26
U373,4,4,1,Gas,Moderate,19
U374,5,5,2,Solar,Moderate,0
U375,7,7,2,Solar,Moderate,9
U376,3,3,1,Gas,Moderate,7
U377,6,6,1,Gas,Heavy,23
U378,1,1,2,Gas,Moderate,28
U379,4,4,1,Gas,Light,7
U380,2,2,2,Gas,Moderate,18
U381,4,4,2,Gas,Light,5
U382,2,2,1,Gas,Light,11
U383,6,6,1,Gas,Moderate,27
U384,6,6,1,Solar,Heavy,6
U385,6,6,1,Electric,Moderate,15
U386,2,2,2,Electric,Moderate,8
U387,4,4,1,Gas,Moderate,20
U388,6,6,2,Electric,Light,24
U389,5,5,1,Gas,Heavy,21
U390,7,7,3,Electric,Moderate,9
U391,2,2,1,Solar,Heavy,9
U392,2,2,1,Gas,Light,9
U393,4,4,1,Electric,Light,19
U394,2,2,2,Electric,Heavy,28
U395,2,2,1,Solar,Moderate,15
U396,6,6,2,Electric,Light,0
U397,4,4,1,Gas,Light,16
U398,6,6,1,Gas,Heavy,29
U399,7,7,1,Gas,Moderate,25
U400,7,7,1,Electric,Moderate,20
U401,6,6,1,Gas,Moderate,28
U402,7,7,3,Electric,Moderate,13
U403,4,4,3,Gas,Heavy,18
U404,1,1,2,Gas,Light,20
