user_id,num_people,num_children,bedrooms,has_ac,has_geyser,has_iron,has_washing_machine,has_dishwasher,has_induction,has_microwave,has_kettle,has_vacuum,has_room_heater,home_area_sqft,has_pool,has_garden,vacation_month,vacation_days,climate,city,electricity_provider,electricity_consumption_kwh
10001,3,2,4,1,1,1,0,0,1,1,0,0,0,1785,0,0,Apr,0,Moderate,Mumbai,MSEDCL,604.65
10002,3,1,1,0,1,1,0,0,0,0,0,0,0,577,0,1,May,5,Hot,Chennai,TANGEDCO,332.63
10003,5,4,5,0,1,0,1,0,1,1,1,1,0,2165,0,0,May,9,Moderate,Bangalore,BESCOM,399.37
10004,3,2,4,1,1,1,1,0,0,1,0,1,0,1782,0,0,Oct,15,Hot,Delhi,BSES Yamuna,403.09
10005,5,0,3,1,0,1,0,0,1,0,0,0,0,1227,0,0,Sep,5,Hot,Kolkata,CESC,478.24
10006,2,0,2,1,0,1,1,0,0,0,1,1,0,1129,0,0,Jun,5,Hot,Kolkata,CESC,465.63
10007,3,1,4,1,0,1,1,0,0,0,1,1,0,1846,0,0,May,15,Hot,Kolkata,CESC,298.83
10008,5,4,4,1,0,1,1,1,0,1,1,0,0,1936,0,0,Apr,0,Hot,Chennai,TANGEDCO,770.8
10009,3,2,2,0,0,0,0,1,0,0,1,0,0,821,0,0,May,22,Moderate,Bangalore,BESCOM,80.05
10010,5,3,5,0,1,1,1,1,0,1,1,0,0,2095,0,0,Nov,0,Moderate,Bangalore,BESCOM,548.6
10011,2,0,1,1,0,0,0,0,0,0,0,0,0,521,0,0,Nov,0,Hot,Kolkata,CESC,364.64
10012,3,2,1,0,0,0,0,0,0,1,0,0,0,649,0,0,May,24,Hot,Chennai,TANGEDCO,60.0
10013,4,2,3,0,0,1,1,0,0,1,0,0,0,1578,0,0,May,16,Hot,Chennai,TANGEDCO,180.04
10014,2,1,3,1,0,1,1,0,0,1,1,0,0,1507,0,0,Oct,22,Moderate,Mumbai,MSEDCL,146.0
10015,5,0,3,1,0,1,1,1,1,0,1,0,0,1533,0,0,May,19,Hot,Kolkata,CESC,290.55
10016,4,2,1,0,0,0,1,0,0,0,0,0,0,725,0,0,Jan,0,Hot,Kolkata,CESC,231.24
10017,8,0,5,0,1,1,1,1,1,0,1,0,0,2136,0,0,May,10,Moderate,Mumbai,MSEDCL,418.12
10018,2,0,1,0,0,0,1,0,0,0,1,0,0,676,0,0,Jun,15,Hot,Delhi,BSES Yamuna,122.41
10019,3,2,1,0,0,0,0,0,0,0,0,0,1,719,0,1,Nov,0,Cold,Delhi,BSES Yamuna,339.06
10020,1,0,1,0,0,0,0,1,1,0,1,1,0,731,0,0,May,10,Moderate,Mumbai,MSEDCL,173.19
10021,3,0,3,0,0,0,1,0,1,1,1,0,0,1260,0,0,Apr,0,Moderate,Bangalore,BESCOM,318.37
10022,4,1,5,1,0,1,1,0,1,0,1,0,0,2249,0,0,May,9,Hot,Kolkata,CESC,481.52
10023,3,1,3,1,0,1,1,0,0,1,0,0,0,1294,0,0,Feb,6,Moderate,Mumbai,MSEDCL,359.84
10024,5,3,4,0,1,1,1,1,0,0,1,0,0,1895,0,0,Oct,6,Moderate,Mumbai,MSEDCL,394.23
10025,1,0,1,0,0,0,1,0,1,0,0,0,1,583,0,0,Jan,0,Hot,Delhi,BSES Yamuna,416.93
10026,4,0,3,1,0,1,1,0,1,1,1,0,0,1459,0,0,Jan,0,Moderate,Bangalore,BESCOM,547.97
10027,1,0,2,1,1,0,0,1,0,1,0,0,0,1086,0,0,Jun,14,Hot,Kolkata,CESC,358.82
10028,2,0,2,0,1,1,0,0,0,1,1,0,0,954,0,0,Apr,0,Cold,Delhi,BSES Yamuna,418.53
10029,1,0,1,1,0,0,0,0,0,0,0,0,0,585,0,0,May,21,Hot,Delhi,BSES Yamuna,83.8
10030,6,3,3,1,0,1,1,0,0,0,0,0,0,1268,0,0,May,17,Hot,Kolkata,CESC,254.1
10031,5,1,3,1,1,1,1,0,1,1,0,1,0,1525,0,1,Sep,9,Moderate,Bangalore,BESCOM,492.41
10032,5,3,3,1,1,1,1,1,0,0,0,0,1,1460,0,0,May,24,Hot,Kolkata,CESC,189.45
10033,3,0,2,1,0,0,0,0,1,1,0,0,0,914,1,0,Dec,19,Hot,Kolkata,CESC,338.32
10034,1,0,1,1,0,0,1,0,0,1,1,0,0,746,0,0,May,24,Hot,Chennai,TANGEDCO,128.76
10035,5,0,3,1,0,0,1,1,1,1,0,0,1,1207,0,0,Nov,2,Hot,Chennai,TANGEDCO,850.83
10036,2,0,2,1,0,0,0,0,0,1,0,0,0,1064,0,0,May,14,Hot,Chennai,TANGEDCO,260.23
10037,7,4,4,0,1,0,1,1,1,0,1,1,0,1870,0,0,Jun,7,Moderate,Mumbai,MSEDCL,445.6
10038,2,0,3,1,0,0,1,0,0,0,0,1,0,1448,0,0,Dec,17,Hot,Kolkata,CESC,229.21
10039,5,3,2,0,0,1,1,0,1,0,0,0,1,904,0,0,Jul,0,Moderate,Bangalore,BESCOM,443.56
10040,4,3,5,0,1,1,1,0,0,1,1,1,1,2262,0,1,Mar,0,Cold,Delhi,BSES Yamuna,768.56
10041,5,4,3,0,1,1,1,0,1,1,0,0,0,1423,0,0,Jun,16,Hot,Kolkata,CESC,306.78
10042,4,1,1,0,0,0,0,0,1,1,0,0,1,727,0,0,Apr,7,Cold,Delhi,BSES Yamuna,333.06
