user_id,month,year,total_liters,bill_amount,bathroom_liters,kitchen_liters,garden_liters,washing_machine_liters,holiday_days
U303,Jan,2025,19645,805.83,8312,3005,4938,3390,2
U636,Oct,2023,24018,1004.69,7831,5768,5678,4741,4
U549,Oct,2025,24766,1018.97,7998,4179,5808,6781,3
U471,Aug,2023,21023,882.43,6508,4847,4978,4690,1
U307,Apr,2024,22889,952.27,9462,3554,4904,4969,2
U272,Apr,2023,16777,700.19,5848,3298,3179,4452,3
U389,Apr,2025,14735,605.76,6584,2728,3130,2293,2
U221,Jun,2025,20273,848.67,8864,3625,4560,3224,4
U303,Jul,2024,20278,848.42,7373,4068,3797,5040,0
U322,Jun,2023,18368,765.08,6159,2602,4276,5331,3
U667,Jan,2024,22255,923.63,7132,3777,6210,5136,7
U415,Dec,2024,12821,534.91,5736,2227,2600,2258,1
U531,Aug,2025,19525,800.64,7616,2425,5102,4382,7
U659,Oct,2023,12162,505.85,4435,1932,2727,3068,7
U288,Nov,2023,19777,827.62,9321,2570,4636,3250,6
U573,Jul,2023,23931,989.71,10020,3477,5240,5194,4
U300,Jun,2023,22589,928.6,9116,4137,5352,3984,3
U560,Jun,2024,13932,577.08,6250,2430,2291,2961,1
U352,May,2024,22920,956.39,10614,4698,3986,3622,3
U331,Jun,2025,15535,638.6,6792,2423,3126,3194,4
U350,Dec,2024,17956,739.9,6966,4234,4014,2742,3
U509,Sep,2024,15446,635.57,5805,3185,3799,2657,2
U458,Oct,2025,14790,618.18,6719,3087,2318,2666,4
U544,Sep,2025,14707,603.91,5935,3216,2482,3074,3
U692,Oct,2025,19959,832.02,8799,3766,3387,4007,6
U614,Aug,2024,15933,659.09,7617,2255,2744,3317,0
U494,Oct,2024,15385,642.41,7433,1973,3463,2516,3
U586,Sep,2025,18636,782.05,6625,2936,4187,4888,2
U392,Oct,2025,12922,531.28,4362,3342,2942,2276,1
U644,Aug,2025,20089,829.96,7076,5097,4595,3321,6
U477,Aug,2024,22367,935.17,10071,4241,3614,4441,1
U361,Jan,2024,21774,898.53,8143,5135,3587,4909,7
U660,Oct,2023,12564,517.83,4204,3208,2353,2799,6
U514,Nov,2024,15258,638.17,4877,3138,3179,4064,1
U222,May,2024,22789,956.84,8328,4711,3918,5832,0
U453,Apr,2024,14500,602.57,4744,2768,4005,2983,2
U436,Feb,2025,16566,683.81,5487,3143,3230,4706,7
U545,Aug,2024,21179,876.78,9250,2477,4535,4917,4
U249,Mar,2025,18881,777.33,5738,3768,4101,5274,1
U675,Apr,2023,15636,652.99,5058,3540,3308,3730,6
U259,Dec,2023,18030,753.18,8453,2723,3331,3523,2
U370,Jul,2025,12223,511.84,5732,2430,1866,2195,3
U676,Oct,2025,18297,750.66,6693,3092,4562,3950,0
U388,Sep,2025,12350,513.29,3922,1909,2707,3812,2
U664,Feb,2024,19314,796.01,8517,3911,3973,2913,2
U471,Mar,2023,13928,575.8,5181,2928,3122,2697,4
U390,Apr,2025,19743,824.96,6102,3387,6089,4165,2
