user_id,num_people,num_children,bathrooms,has_garden,has_pool,washing_frequency,dishwasher_usage,shower_minutes_daily,vacation_days,climate
U101,7,6,3,1,0,3,10,35,17,Arid
U102,4,1,4,1,1,1,10,48,26,Tropical
U103,5,3,3,0,0,5,1,55,1,Temperate
U104,7,1,1,0,0,1,4,35,18,Arid
U105,3,0,5,0,0,1,9,39,23,Tropical
U106,5,3,3,0,1,7,12,35,9,Continental
U107,5,4,3,0,0,2,11,30,24,Arid
U108,7,2,2,0,0,2,1,77,28,Continental
U109,2,1,1,0,0,5,9,14,29,Continental
U110,3,1,5,1,0,5,14,15,2,Tropical
U111,7,3,3,0,0,5,13,98,24,Temperate
U112,3,2,3,0,1,4,8,21,27,Continental
U113,3,2,5,1,0,4,9,30,11,Arid
U114,5,2,1,0,0,2,5,35,25,Temperate
U115,4,0,2,0,0,2,7,36,15,Temperate
U116,3,2,3,0,0,5,8,39,11,Tropical
U117,6,1,2,1,0,4,14,66,7,Arid
U118,5,1,4,1,0,3,12,30,4,Arid
U119,2,0,1,0,0,4,7,10,10,Tropical
U120,4,1,4,1,0,2,4,44,9,Tropical
U121,6,5,4,1,0,4,4,48,2,Temperate
U122,6,2,4,1,0,2,5,66,26,Continental
U123,2,1,1,1,1,5,13,20,22,Continental
U124,4,0,1,1,0,7,0,44,8,Continental
U125,5,0,5,0,0,5,12,40,11,Continental
U126,1,0,2,0,0,5,10,7,5,Arid
U127,4,2,2,0,0,3,7,36,18,Arid
U128,2,0,5,1,0,7,1,14,15,Tropical
U129,6,0,5,1,0,3,5,42,20,Tropical
U130,5,2,4,1,0,2,13,40,22,Continental
U131,4,0,5,1,0,1,13,48,23,Tropical
U132,1,0,3,0,0,6,8,6,28,Arid
U133,1,0,2,1,0,3,12,8,13,Continental
U134,3,0,5,1,0,2,2,21,27,Continental
U135,3,1,3,1,0,7,1,33,3,Arid
U136,7,5,3,1,0,4,9,42,17,Temperate
U137,2,0,3,1,0,7,4,10,9,Continental
U138,4,2,3,0,0,5,10,56,17,Tropical
U139,4,3,4,1,0,5,8,20,11,Temperate
U140,7,3,3,0,0,5,5,70,18,Arid
U141,6,0,4,1,0,2,13,42,7,Temperate
U142,6,3,4,1,1,5,7,66,0,Temperate
U143,7,3,3,0,1,3,7,84,13,Continental
U144,6,0,2,1,0,4,6,54,22,Temperate
U145,3,0,3,0,0,5,4,27,5,Tropical
U146,4,2,3,0,0,2,1,24,13,Continental
U147,7,3,3,0,0,4,13,84,1,Arid
U148,4,3,2,1,0,5,14,56,8,Tropical
U149,1,0,1,1,0,1,9,5,28,Continental
U150,3,0,1,1,0,5,9,42,11,Temperate
U151,5,3,4,0,1,6,4,65,4,Tropical
U152,3,1,4,1,0,7,11,15,1,Continental
U153,7,6,2,1,0,3,6,35,18,Continental
U154,5,1,5,0,0,4,11,25,6,Arid
U155,1,0,1,0,0,3,11,11,6,Continental
U156,7,6,4,0,0,1,6,56,9,Arid
U157,2,0,1,1,0,1,10,22,16,Temperate
U158,4,3,2,1,0,6,12,36,25,Continental
U159,1,0,2,1,0,3,14,11,13,Continental
U160,4,2,5,0,0,4,1,56,26,Temperate
U161,6,5,5,1,0,1,6,66,10,Continental
U162,2,1,2,0,1,1,5,16,27,Continental
U163,2,0,4,0,0,5,6,12,19,Tropical
U164,1,0,1,1,1,6,10,12,5,Arid
U165,2,0,3,0,0,7,7,12,7,Continental
U166,5,2,5,1,0,2,3,65,18,Continental
U167,2,1,3,0,0,7,0,18,29,Arid
U168,4,1,4,1,0,7,7,52,18,Tropical
